3213	3539
3540	3543
3544	3544
3545	3545
3546	3546
3547	3549
3550	3615
3616	3628
3629	3630
3631	3633
3634	3634
3635	3667
3668	3670
3671	3672
3673	3673
3674	3704
3705	3705
3706	3722
3723	3725
3726	3729
3730	3732
3762	3807
3808	3808
3809	3809
3810	3840
3841	3841
3842	3843
3844	3850
3851	3851
3852	3854
3855	3903
3904	3910
3911	3911
3912	3913
3914	3914
3915	3916
3917	3925
3926	3931
3932	3932
3933	3938
3939	4087
4143	4293
4294	4322
4361	5006
5007	5154
5155	5170
5171	5173
5174	5174
5175	5175
5176	5182
5183	5185
5186	5225
5226	5228
5229	5229
5230	5362
5363	5414
5415	5657
5658	5665
5666	5814
5815	5815
5816	5817
5818	5818
5819	5819
5820	5846
5847	5848
5849	5852
5853	5853
5854	5864
5865	5869
5870	5870
5871	5871
5872	5872
5873	5873
5874	5874
5875	5882
5883	5883
5884	5887
5888	5888
5889	5889
5890	5890
5891	5891
5892	5898
5899	5900
5901	6248
6249	6249
6250	6474
6475	6560
6561	6563
6564	6573
6574	6575
6576	6576
6577	6577
6578	7131
7132	7132
7133	7133
7134	7171
7172	7172
7173	7173
7174	7187
7188	7188
7189	7204
7205	7212
7213	7295
7296	7296
7297	7297
7298	7298
7299	7301
7302	7406
7407	7407
7408	7411
7412	7413
7414	7416
7417	7417
7418	8725
8726	8726
8727	8734
8735	8735
8736	8736
8737	8746
8747	8747
8748	8753
8754	8756
8757	8835
8836	8843
8844	8861
8862	8862
8863	8864
8865	8922
8923	9014
9015	9022
9023	9102
9103	9103
9104	9104
9105	9160
9161	9161
9162	9162
9163	9165
9166	9168
9169	9208
9209	9247
9248	9248
9249	9252
9253	9275
9276	9354
9355	9361
9362	9367
9368	9373
9374	9377
9378	9378
9379	9379
9380	9384
9385	9386
9387	9387
9388	9407
9408	9408
9409	9440
9441	9444
9445	9445
9446	10040
10041	10073
10085	10105
10106	10106
10106	10248
